year,month,fips,usercnt,tweetcnt,usercnt_all,tweetcnt_all,srb,srb_using_tweet
2017,4,45047,1,2,362,5948,2.76243093923,0.336247478144
2017,4,45083,9,9,1918,27572,4.69238790407,0.326418105324
2017,4,45035,4,4,772,6851,5.18134715026,0.583856371333
2017,4,45003,3,3,967,10582,3.10237849018,0.2835002835
2017,4,45051,23,35,7112,59577,3.23397075366,0.587475032311
2017,4,45077,7,9,1542,15670,4.53955901427,0.574345883854
2017,4,45031,2,2,366,4160,5.46448087432,0.480769230769
2017,4,45057,2,2,869,7307,2.30149597238,0.273710140961
2017,4,45091,6,7,1584,13386,3.78787878788,0.522934409084
2017,4,45071,1,1,234,2335,4.2735042735,0.428265524625
2017,4,45043,1,1,706,9155,1.4164305949,0.109229929001
2017,4,45079,10,12,4100,28853,2.43902439024,0.41590129276
2017,4,45013,4,4,2069,12410,1.93330111165,0.322320709106
2017,4,45045,12,14,3952,37873,3.03643724696,0.369656483511
2017,4,45085,7,7,414,8972,16.9082125604,0.780205082479
2017,4,45001,1,1,77,452,12.987012987,2.21238938053
2017,4,45075,4,4,428,8861,9.34579439252,0.4514163187
2017,5,45007,2,2,1069,8888,1.87090739008,0.22502250225
2017,5,45015,8,10,861,9381,9.29152148664,1.06598443663
2017,5,45063,11,22,2558,26924,4.30023455825,0.817114841777
2017,5,45025,1,1,120,508,8.33333333333,1.96850393701
2017,5,45073,1,1,491,2241,2.0366598778,0.446229361892
2017,5,45049,1,1,55,276,18.1818181818,3.6231884058
2017,5,45023,1,1,104,575,9.61538461538,1.73913043478
2017,5,45057,1,1,865,7559,1.15606936416,0.1322926313
2017,5,45031,1,1,337,3477,2.96735905045,0.287604256543
2017,5,45071,1,3,192,2541,5.20833333333,1.18063754427
2017,5,45011,1,2,59,1084,16.9491525424,1.84501845018
2017,5,45037,1,3,72,802,13.8888888889,3.74064837905
2017,5,45085,4,5,403,6856,9.92555831266,0.729288214702
2017,5,45045,16,28,4056,42770,3.94477317554,0.654664484452
2017,5,45079,11,12,4025,31658,2.73291925466,0.379051108724
2017,5,45019,8,9,4935,40044,1.6210739615,0.224752771951
2017,5,45041,3,3,859,11092,3.4924330617,0.270465200144
2017,5,45001,1,1,73,464,13.698630137,2.15517241379
2017,5,45075,2,3,367,4511,5.44959128065,0.665041010862
2017,5,45021,1,1,357,1971,2.80112044818,0.50735667174
2017,5,45047,2,2,345,3790,5.79710144928,0.527704485488
2017,5,45013,5,6,1836,10951,2.72331154684,0.547895169391
2017,5,45039,1,1,94,1045,10.6382978723,0.956937799043
2017,5,45087,1,1,86,1161,11.6279069767,0.861326442722
2017,5,45029,1,2,143,1419,6.99300699301,1.40944326991
2017,5,45035,3,3,731,6951,4.10396716826,0.431592576608
2017,5,45091,6,6,1538,10949,3.90117035111,0.547995250708
2017,5,45043,2,2,696,7780,2.87356321839,0.25706940874
2017,5,45083,10,10,1893,26018,5.28262017961,0.384349296641
2017,5,45077,5,6,1134,8081,4.40917107584,0.742482366044
2017,5,45051,23,23,6070,48672,3.78912685338,0.47255095332
2017,5,45003,3,5,898,10288,3.34075723831,0.48600311042
2017,6,45059,1,1,202,1513,4.9504950495,0.660938532716
2017,6,45067,2,2,97,1582,20.618556701,1.26422250316
2017,6,45041,4,7,953,12016,4.19727177335,0.582556591212
2017,6,45019,13,14,5051,40595,2.57374777272,0.344870057889
2017,6,45083,7,7,1799,24141,3.89105058366,0.289963133259
2017,6,45035,7,8,776,7649,9.0206185567,1.04588835142
2017,6,45043,2,2,882,8122,2.26757369615,0.246244767299
2017,6,45091,4,9,1531,10198,2.61267145656,0.882525985487
2017,6,45015,6,12,886,8523,6.77200902935,1.40795494544
2017,6,45063,12,15,2613,25903,4.59242250287,0.579083503841
2017,6,45089,1,1,79,931,12.6582278481,1.07411385607
2017,6,45055,1,1,283,2822,3.53356890459,0.354358610914
2017,6,45007,5,8,1083,9178,4.61680517082,0.871649596862
2017,6,45045,18,22,3901,40328,4.6142014868,0.545526681214
2017,6,45079,13,14,3671,30061,3.54126940888,0.46571970327
2017,6,45047,1,1,288,3199,3.47222222222,0.312597686777
2017,6,45087,1,1,79,1339,12.6582278481,0.746825989544
2017,6,45013,8,8,2617,14370,3.05693542224,0.556715379262
2017,6,45049,1,1,46,413,21.7391304348,2.42130750605
2017,6,45077,2,2,1091,7293,1.83318056829,0.274235568353
2017,6,45051,25,36,9952,69187,2.51205787781,0.520328963534
2017,6,45029,1,1,128,1125,7.8125,0.888888888889
2017,6,45003,5,6,867,8944,5.76701268743,0.67084078712
2017,6,45085,2,2,424,7378,4.71698113208,0.271076172404
2017,6,45011,1,2,49,1195,20.4081632653,1.67364016736
2017,6,45071,2,3,177,2082,11.2994350282,1.4409221902
2017,6,45057,1,1,942,6945,1.06157112527,0.143988480922
2017,7,45007,7,9,1135,11049,6.16740088106,0.814553353245
2017,7,45055,5,6,298,3021,16.7785234899,1.98609731877
2017,7,45043,5,6,1189,9778,4.20521446594,0.613622417672
2017,7,45091,2,2,1694,10832,1.18063754427,0.184638109306
2017,7,45079,10,10,3769,30002,2.65322366676,0.333311112592
2017,7,45053,1,1,242,652,4.13223140496,1.53374233129
2017,7,45049,1,1,52,391,19.2307692308,2.55754475703
2017,7,45015,7,14,977,10374,7.164790174,1.34952766532
2017,7,45063,8,11,2704,26877,2.95857988166,0.40927186814
2017,7,45057,6,8,957,6664,6.26959247649,1.20048019208
2017,7,45073,1,5,498,2570,2.00803212851,1.94552529183
2017,7,45017,1,1,25,166,40.0,6.02409638554
2017,7,45045,11,13,4129,43491,2.66408331315,0.298912418661
2017,7,45083,9,15,2191,29257,4.10771337289,0.512697815907
2017,7,45035,7,9,819,8224,8.54700854701,1.09435797665
2017,7,45021,1,1,375,2521,2.66666666667,0.396667988893
2017,7,45047,2,7,306,3945,6.53594771242,1.77439797212
2017,7,45003,7,10,1046,10796,6.69216061185,0.926268988514
2017,7,45051,44,51,11442,77123,3.84548155917,0.661281329824
2017,7,45077,2,2,1027,7118,1.94741966894,0.280977802754
2017,7,45085,2,2,451,6904,4.43458980044,0.289687137891
2017,7,45087,3,3,97,1238,30.9278350515,2.42326332795
2017,7,45075,3,5,330,2990,9.09090909091,1.67224080268
2017,7,45013,10,10,3251,17326,3.07597662258,0.577167263073
2017,7,45019,13,15,5863,45520,2.21729490022,0.329525483304
2017,7,45041,5,6,1054,14112,4.74383301708,0.425170068027
2017,8,45057,1,1,903,6746,1.10741971207,0.148235991699
2017,8,45031,1,1,386,3898,2.59067357513,0.256541816316
2017,8,45077,5,7,1575,10824,3.1746031746,0.646711012565
