year,fips,srb
2019,1101,14.89317995
2020,1101,17.57671805
2021,1101,11.2962963
2022,1101,11.42473118
2016,1103,11.32686084
2017,1103,11.26516464
2018,1103,14.70588235
2019,1103,10.39206424
2020,1103,11.37656428
2021,1103,9.135628953
2022,1103,14.73296501
2016,1109,7.789678676
2017,1109,9.693053312
2018,1109,14.2364107
2019,1109,14.44912703
2020,1109,15.73426573
2021,1109,6.976744186
2017,1111,10.44386423
2018,1111,6.230529595
2016,1113,10.80246914
2017,1113,8.678881389
2018,1113,5.39083558
2019,1113,7.923930269
2020,1113,14.88306166
2021,1113,10.78431373
2022,1113,5.834305718
2016,1115,1.857010214
2017,1115,1.72294969
2018,1115,3.228782288
2019,1115,3.389830508
2020,1115,0.771010023
2021,1115,2.120890774
2022,1115,2.713704206
2016,1117,6.048387097
2017,1117,6.999860003
2018,1117,7.622641509
2019,1117,9.540068287
2020,1117,8.221323242
2021,1117,5.562422744
2022,1117,5.410821643
2016,1119,7.142857143
2017,1119,2.717391304
2016,1121,5.720823799
2017,1121,4.50619602
2018,1121,8.257279444
2019,1121,8.536585366
2020,1121,6.467259499
2021,1121,4.232804233
2022,1121,9.635974304
2016,1123,4.807692308
2017,1123,6.23885918
2018,1123,4.439511654
2019,1123,3.389830508
2020,1123,1.937984496
2022,1123,3.401360544
2016,1125,8.76281004
2017,1125,10.55257099
2018,1125,11.19688435
2019,1125,11.48819562
2020,1125,14.09759876
2021,1125,7.921474083
2022,1125,6.055363322
2016,1127,3.896103896
2017,1127,5.93276203
2018,1127,9.312320917
2019,1127,7.972665148
2020,1127,4.491017964
2021,1127,6.134969325
2022,1127,7.481296758
2017,1133,2.141327623
2019,1133,7.575757576
2018,4001,2.734107997
2019,4001,1.082251082
2020,4001,3.870967742
2016,4003,11.44781145
2017,4003,9.093414164
2018,4003,10.88985688
2019,4003,11.57308187
2020,4003,8.685581934
2021,4003,10.63829787
2022,4003,11.42857143
2016,4005,2.509301722
2017,4005,4.408598476
2018,4005,5.229860818
2019,4005,6.452837351
2020,4005,5.673255917
2021,4005,5.994485074
2022,4005,4.072043853
2016,4007,2.606429192
2017,4007,0.664893617
2018,4007,2.294455067
2019,4007,3.644093532
2020,4007,1.543209877
2022,4007,1.579778831
2016,4009,10.52631579
2017,4009,10.46337818
2018,4009,15.625
2019,4009,16.01830664
2020,4009,12.15805471
2021,4009,14.54545455
2022,4009,4.464285714
2016,4011,10.86956522
2017,4011,15.78947368
2018,4011,6.622516556
2019,4011,16.52892562
2020,4011,18.51851852
2016,4012,1.245330012
2017,4012,1.548786784
2018,4012,4.084014002
2019,4012,5.455962588
2020,4012,0.957854406
2021,4012,1.461988304
2022,4012,1.618122977
2016,4013,12.35209986
2017,4013,15.45675788
2018,4013,17.28692105
2019,4013,17.41087291
2020,4013,22.32986767
2021,4013,15.69361558
2022,4013,17.89903275
2016,4015,5.855943783
2017,4015,4.691311691
2018,4015,6.056601696
2019,4015,5.154639175
2020,4015,7.943838906
2021,4015,4.708344232
2022,4015,7.051712559
2016,4017,3.479125249
2017,4017,3.131290539
2018,4017,2.184002184
2019,4017,1.915708812
2020,4017,5.623242737
2021,4017,1.856435644
2022,4017,2.886002886
2016,4019,13.51943419
2017,4019,15.24328979
2018,4019,17.46893163
2019,4019,19.31808447
2020,4019,19.97392129
2021,4019,16.97438952
2022,4019,17.9975679
2016,4021,10.60575158
2017,4021,10.99095905
2018,4021,11.88825045
2019,4021,10.03565298
2020,4021,10.69774868
2021,4021,8.637443317
2022,4021,8.166491043
2017,4023,1.01061142
2018,4023,1.641137856
2019,4023,5.359877489
2020,4023,6.772009029
2021,4023,4.405286344
2022,4023,1.508295626
2016,4025,2.681478644
2017,4025,3.177292946
2018,4025,4.656577416
2019,4025,5.454334455
2020,4025,5.081946385
2021,4025,4.223686434
2022,4025,7.11427301
2016,4027,12.46105919
2017,4027,12.41753977
2018,4027,15.82210819
2019,4027,13.7182052
2020,4027,10.82910321
2021,4027,12.23934723
2022,4027,12.04819277
2017,5001,2.34741784
2018,5001,5.18134715
2021,5001,5.128205128
2016,5003,5.714285714
2017,5003,14.97005988
2018,5003,10.2739726
2019,5003,5.882352941
2021,5003,9.009009009
2022,5003,24.09638554
2016,5005,5.319148936
2017,5005,3.831417625
2018,5005,5.865102639
2019,5005,13.60544218
2020,5005,11.23595506
2021,5005,10.52631579
2022,5005,8.196721311
2016,5007,4.426644182
2017,5007,7.020117351
2018,5007,6.875901076
2019,5007,9.917867658
2020,5007,9.894600989
2021,5007,6.180469716
2022,5007,8.49617672
2016,5009,7.633587786
2017,5009,3.558718861
2018,5009,5.899705015
2019,5009,12.87553648
2020,5009,5.66572238
2021,5009,7.604562738
2022,5009,7.604562738
2020,5011,45.97701149
2021,5011,16.39344262
2017,5015,0.986193294
2019,5015,5.576208178
2021,5015,5.602240896
2022,5015,6.802721088
2017,5017,3.246753247
2018,5017,4.081632653
2016,5019,4.021447721
2017,5019,3.052503053
2018,5019,9.174311927
2019,5019,6.622516556
2020,5019,11.51315789
2021,5019,4.282655246
2022,5019,5.571030641
2017,5021,5.263157895
2018,5021,4.95049505
2019,5021,7.299270073
2022,5021,18.86792453
2019,5023,3.649635037
2020,5023,3.787878788
2022,5023,6.849315068
2016,5027,3.225806452
2017,5027,8.739076155
2018,5027,17.43462017
2019,5027,16.24548736
2020,5027,10.95890411
2021,5027,3.663003663
2016,5029,2.96735905
2017,5029,4.381161008
2018,5029,8.43373494
2019,5029,5.859375
2021,5029,6.25
2022,5029,7.874015748
2016,5031,5.866666667
2017,5031,9.196949305
2018,5031,12.72264631
2019,5031,10.35673188
2020,5031,9.350393701
2021,5031,13.10043668
2022,5031,5.315614618
2016,5033,2.444987775
2018,5033,4.257907543
2019,5033,7.02106319
2020,5033,4.722550177
2021,5033,3.294892916
2022,5033,7.889546351
2016,5035,4.142502071
2017,5035,5.762581637
2018,5035,5.288852726
2019,5035,8.097165992
2020,5035,10.01335113
2021,5035,6.279434851
2022,5035,4.803073967
2016,5037,10.1010101
2018,5037,4.098360656
2019,5037,10.98901099
2020,5037,6.535947712
2021,5037,14.49275362
2016,5039,15.625
2017,5039,5.747126437
2018,5039,6.369426752
2021,5039,13.33333333
2016,5041,10.69518717
2018,5041,7.537688442
2019,5041,4.405286344
2021,5041,6.060606061
2017,5043,5.657708628
2018,5043,6.163328197
2019,5043,6.818181818
2020,5043,15.29051988
2021,5043,4.255319149
2022,5043,17.75147929
2016,5045,8.19112628
2017,5045,9.212730318
2018,5045,14.32243849
2019,5045,12.04174472
2020,5045,12.78772379
2021,5045,7.403979639
2022,5045,11.12412178
2016,5051,5.173305742
2017,5051,4.459308807
2018,5051,6.583945303
2019,5051,6.271777003
2020,5051,7.083333333
2021,5051,7.824726135
2022,5051,10.03764115
2016,5053,8.333333333
2017,5053,7.380073801
2018,5053,3.861003861
2019,5053,7.092198582
2022,5053,13.33333333
2016,5055,9.146341463
2017,5055,6.720430108
2018,5055,2.976190476
2019,5055,2.232142857
2020,5055,7.334963325
2021,5055,3.174603175
2022,5055,3.984063745
2016,5057,2.702702703
2017,5057,1.39275766
2018,5057,8.912655971
2019,5057,10.47120419
2020,5057,12.19512195
2021,5057,8.097165992
2022,5057,14.92537313
2016,5059,12.7388535
2017,5059,2.83286119
2018,5059,1.788908766
2019,5059,4.987531172
2022,5059,5.025125628
2016,5061,8.403361345
2017,5061,8.771929825
2022,5061,25.3164557
2016,5063,5.012531328
2017,5063,9.055627426
2018,5063,8.310249307
2019,5063,5.893909627
2020,5063,5.698005698
2021,5065,34.48275862
2017,5067,6.25
2018,5067,3.875968992
2022,5067,9.433962264
2016,5069,11.47959184
2017,5069,25.47770701
2018,5069,22.28116711
2019,5069,19.26910299
2020,5069,19.10828025
2021,5069,13.72997712
2022,5069,4.398826979
2016,5071,12.5
2017,5071,7.761966365
2018,5071,6.925207756
2019,5071,4.08997955
2020,5071,5.555555556
