county,fips,year,link
Colleton,45029,2013,0.6
Dillon,45033,2013,0.6
Chesterfield,45025,2015,0.6
Darlington,45031,2015,0.6
Greenwood,45047,2015,0.6
Marlboro,45069,2015,0.6
Spartanburg,45083,2015,0.6
Cherokee,45021,2016,0.6
Georgetown,45043,2016,0.6
Chester,45023,2017,0.6
Kershaw,45055,2017,0.6
Marlboro,45069,2017,0.6
Richland,45079,2018,0.6
Bamberg,45009,2018,0.60069444
Richland,45079,2016,0.603174603
Dorchester,45035,2016,0.608695652
Greenville,45045,2018,0.608695652
Richland,45079,2010,0.609929078
Greenville,45045,2013,0.611940299
Berkeley,45015,2010,0.615384615
Richland,45079,2014,0.615384615
Berkeley,45015,2018,0.617647059
Horry,45051,2018,0.617647059
Greenville,45045,2010,0.618181818
Anderson,45007,2014,0.619047619
Dorchester,45035,2018,0.619047619
Spartanburg,45083,2010,0.621621622
Sumter,45085,2015,0.625
Lancaster,45057,2018,0.625
Oconee,45073,2018,0.625
Barnwell,45011,2012,0.62702381
Horry,45051,2010,0.62962963
Anderson,45007,2013,0.631578947
Florence,45041,2016,0.631578947
Spartanburg,45083,2018,0.633333333
Richland,45079,2011,0.634146342
Dorchester,45035,2010,0.636363636
Beaufort,45013,2012,0.636363636
Greenville,45045,2016,0.641791045
Horry,45051,2011,0.64516129
Anderson,45007,2016,0.647058824
Charleston,45019,2018,0.647058824
Sumter,45085,2013,0.65
Florence,45041,2012,0.652173913
Berkeley,45015,2016,0.652173913
Lexington,45063,2017,0.653061225
Spartanburg,45083,2012,0.65625
Calhoun,45017,2012,0.65815387
Beaufort,45013,2010,0.666666667
Calhoun,45017,2010,0.666666667
Fairfield,45039,2010,0.666666667
Hampton,45049,2010,0.666666667
Lancaster,45057,2010,0.666666667
Oconee,45073,2010,0.666666667
Calhoun,45017,2011,0.666666667
Colleton,45029,2011,0.666666667
Laurens,45059,2011,0.666666667
Allendale,45005,2012,0.666666667
Cherokee,45021,2012,0.666666667
Dillon,45033,2012,0.666666667
Edgefield,45037,2012,0.666666667
Lee,45061,2012,0.666666667
Marion,45067,2012,0.666666667
Berkeley,45015,2013,0.666666667
Clarendon,45027,2013,0.666666667
Laurens,45059,2013,0.666666667
Allendale,45005,2014,0.666666667
Darlington,45031,2014,0.666666667
Florence,45041,2014,0.666666667
Hampton,45049,2014,0.666666667
Lee,45061,2014,0.666666667
Newberry,45071,2014,0.666666667
Union,45087,2014,0.666666667
Anderson,45007,2015,0.666666667
Calhoun,45017,2015,0.666666667
Kershaw,45055,2015,0.666666667
Pickens,45077,2015,0.666666667
Beaufort,45013,2016,0.666666667
Chesterfield,45025,2016,0.666666667
Fairfield,45039,2016,0.666666667
Laurens,45059,2016,0.666666667
Greenwood,45047,2017,0.666666667
Jasper,45053,2018,0.666666667
Williamsburg,45089,2018,0.666666667
Saluda,45081,2011,0.671478696
Lexington,45063,2018,0.676470588
Beaufort,45013,2011,0.68
Richland,45079,2013,0.681034483
York,45091,2018,0.681818182
Richland,45079,2015,0.685483871
Dorchester,45035,2013,0.6875
Anderson,45007,2017,0.6875
Orangeburg,45075,2013,0.692307692
Williamsburg,45089,2014,0.692307692
Lexington,45063,2013,0.696969697
Dorchester,45035,2014,0.7
Kershaw,45055,2014,0.7
Greenville,45045,2015,0.704918033
